Nombre,Code Departamento,lat,lon,Provincia
POMAN,10084,-28.33781745,-66.54987231,CATAMARCA
SANTO TOME,18168,-28.51878167,-56.05544289,CORRIENTES
TINOGASTA,10105,-27.09210847,-67.81896152,CATAMARCA
VALLE FERTIL,70119,-30.80415774,-67.366235,SAN JUAN
AÑELO,58014,-37.88803423,-68.51449,NEUQUÉN
JUNIN,74049,-32.31398017,-65.41102538,SAN LUIS
MITRE,86112,-29.29157166,-63.03450311,SANTIAGO DEL ESTERO
TRES DE FEBRERO,06840,-34.60887295,-58.56366446,BUENOS AIRES
SAN ANTONIO DE ARECO,06735,-34.2881384,-59.5070413,BUENOS AIRES
BELGRANO,82007,-32.7494032,-61.5381149,SANTA FE
SAN JUSTO,14140,-31.23400374,-62.74066613,CÓRDOBA
TRANCAS,90112,-26.38549995,-65.36309815,TUCUMÁN
FRAY JUSTO SANTA MARÍA DE ORO,22043,-27.86749866,-61.32540304,CHACO
ANGACO,70014,-31.45675103,-68.34171324,SAN JUAN
CAPAYAN,10042,-29.02534681,-66.00383546,CATAMARCA
CAMPANA,06126,-34.059934,-58.836065,BUENOS AIRES
SAN PEDRO,38063,-24.40863991,-64.62158966,JUJUY
FEDERAL,30035,-30.97193714,-58.99327599,ENTRE RÍOS
DESEADO,78014,-47.88713837,-66.95114899,SANTA CRUZ
COPO,86056,-25.72948778,-63.46601397,SANTIAGO DEL ESTERO
GUAMINI,06399,-36.8942337,-62.3563118,BUENOS AIRES
LA CAPITAL,82063,-31.18858147,-60.62677383,SANTA FE
LA CANDELARIA,66084,-26.14426,-65.0142,SALTA
MINAS,14070,-30.84970027,-65.36509038,CÓRDOBA
ÑORQUIN,58084,-37.35794067,-70.87005615,NEUQUÉN
SANTA CATALINA,38077,-22.05120277,-65.84176636,JUJUY
SARMIENTO,70105,-32.02091413,-68.39270346,SAN JUAN
HUMAHUACA,38028,-22.96907829,-65.43667552,JUJUY
ADOLFO GONZALES CHAVES,06014,-37.85445023,-59.95879364,BUENOS AIRES
ANTOFAGASTA DE LA SIERRA,10028,-25.24611473,-67.52076721,CATAMARCA
BARILOCHE,62021,-41.89814608,-71.50316469,RÍO NEGRO
ANTA,66007,-24.25001144,-64.14095306,SALTA
SARGENTO CABRAL,22154,-26.5995021,-59.74867643,CHACO
CARLOS TEJEDOR,06154,-35.26376343,-62.67741013,BUENOS AIRES
SAN LUIS DEL PALMAR,18140,-27.41325145,-58.37888858,CORRIENTES
MAR CHIQUITA,06518,-37.4842367,-57.4365959,BUENOS AIRES
LIBERTADOR GENERAL SAN MARTÍN,74063,-32.77143097,-65.76694489,SAN LUIS
CONCORDIA,30015,-31.35230446,-58.05355072,ENTRE RÍOS
ARAUCO,46007,-28.39283371,-66.56823731,LA RIOJA
SANTA LUCIA,70098,-31.50973511,-68.5026858,SAN JUAN
SAN ANDRES DE GILES,06728,-34.387887,-59.4326743,BUENOS AIRES
AGUIRRE,86007,-28.96850322,-62.90029133,SANTIAGO DEL ESTERO
UNION,14182,-33.4792553,-62.9564065,CÓRDOBA
COMUNA 11,02011,-34.6042463,-58.49067643,CIUDAD DE BUENOS AIRES
URUGUAY,30098,-32.38095474,-58.23688127,ENTRE RÍOS
MARACO,42105,-35.48140196,-63.49637054,LA PAMPA
PIRANE,34056,-25.5645932,-59.10290413,FORMOSA
BERMEJO,34007,-23.75578308,-61.17063904,FORMOSA
COMUNA 2,02002,-34.58587601,-58.39499618,CIUDAD DE BUENOS AIRES
HUCAL,42077,-37.72244263,-64.06454468,LA PAMPA
CHASCOMUS,06217,-35.4916042,-57.8945611,BUENOS AIRES
CAPITAL,90084,-26.82900979,-65.21054418,TUCUMÁN
JUNIN,50035,-33.15090031,-68.40880629,MENDOZA
ITATI,18077,-27.35196615,-57.87393625,CORRIENTES
POCITO,70070,-31.72999788,-68.56591515,SAN JUAN
1° DE MAYO,22126,-27.22855035,-58.90405078,CHACO
GUER AIKE,78021,-51.8701101,-70.5994988,SANTA CRUZ
ESTEBAN ECHEVERRIA,06260,-34.88497914,-58.47780994,BUENOS AIRES
COMUNA 9,02009,-34.64379608,-58.5191299,CIUDAD DE BUENOS AIRES
LEANDRO N. ALEM,54070,-27.55139444,-55.54013766,MISIONES
PILCANIYEU,62070,-41.32152141,-70.27466678,RÍO NEGRO
MONTE HERMOSO,06553,-38.99535769,-61.21520159,BUENOS AIRES
QUILMES,06658,-34.70037841,-58.27664278,BUENOS AIRES
SUIPACHA,06784,-34.7224296,-59.7512909,BUENOS AIRES
MONTE,06547,-35.5785579,-58.9391774,BUENOS AIRES
25 DE MAYO,54119,-27.54825371,-54.76106548,MISIONES
TANDIL,06791,-37.3502704,-59.07873297,BUENOS AIRES
PICUNCHES,58105,-38.34971979,-69.93995142,NEUQUÉN
CAINGUAS,54014,-27.11729715,-54.69785278,MISIONES
EMPEDRADO,18042,-27.70578113,-58.68808341,CORRIENTES
CASTELLI,06168,-36.1352289,-57.7158097,BUENOS AIRES
RAMALLO,06665,-33.6241496,-60.0461017,BUENOS AIRES
ANDALGALÁ,10021,-27.61905956,-66.11518542,CATAMARCA
CALEU CALEU,42014,-38.40961523,-63.4727511,LA PAMPA
CANDELARIA,54021,-27.37033272,-55.53538513,MISIONES
AYACUCHO,74007,-32.13651315,-66.85445389,SAN LUIS
CAPITAL,70028,-31.53719704,-68.52501832,SAN JUAN
CHICOANA,66042,-25.15339187,-65.69363231,SALTA
GUARANI,54056,-27.23071149,-54.17877558,MISIONES
CONSTITUCION,82028,-33.3790173,-61.3544315,SANTA FE
FIGUEROA,86070,-26.91460859,-63.52985443,SANTIAGO DEL ESTERO
BALCARCE,06063,-37.5739424,-58.6177189,BUENOS AIRES
SOBREMONTE,14154,-29.61635494,-64.06243638,CÓRDOBA
TUNUYAN,50119,-33.4855528,-69.18303881,MENDOZA
ALMIRANTE BROWN,22007,-25.53445625,-62.85266113,CHACO
HURLINGHAM,06408,-34.59309314,-58.63572095,BUENOS AIRES
LA PAZ,30070,-30.60360412,-59.52751986,ENTRE RÍOS
QUITILIPI,22133,-26.99698694,-60.33777397,CHACO
JUAN MARTÍN DE PUEYRREDÓN,74056,-33.36877796,-66.40741813,SAN LUIS
TAFI VIEJO,90105,-26.74196322,-65.56315645,TUCUMÁN
CHOYA,86063,-28.59957504,-64.66501617,SANTIAGO DEL ESTERO
O HIGGINS,22112,-27.28230625,-60.80237676,CHACO
GAIMAN,26042,-43.33395568,-65.47259113,CHUBUT
CAPITAN SARMIENTO,06140,-34.1731879,-59.9792421,BUENOS AIRES
REALICO,42133,-35.01791303,-64.03511786,LA PAMPA
BELGRANO,74014,-32.52213375,-66.48595015,SAN LUIS
SAN ANTONIO,62077,-40.77858734,-65.0507431,RÍO NEGRO
FUTALEUFU,26035,-43.48395319,-71.59418478,CHUBUT
ATAMISQUI,86021,-28.82072,-63.74698,SANTIAGO DEL ESTERO
MAIPU,22091,-26.16427903,-60.55151954,CHACO
CATAN LIL,58021,-39.31451053,-70.15403895,NEUQUÉN
SALTO,06714,-34.1554316,-60.4724629,BUENOS AIRES
GENERAL MANUEL BELGRANO,54049,-25.79129267,-53.88429149,MISIONES
GOYA,18070,-29.1751244,-58.88982054,CORRIENTES
GENERAL PINTO,06351,-34.8011277,-61.8636453,BUENOS AIRES
CORPEN AIKE,78007,-50.20358968,-69.91434697,SANTA CRUZ
PICHI MAHUIDA,62063,-39.0626,-63.9792,RÍO NEGRO
CALAMUCHITA,14007,-32.09286214,-64.56387845,CÓRDOBA
CARMEN DE ARECO,06161,-34.4145467,-59.8540512,BUENOS AIRES
TERCERO ARRIBA,14161,-32.25289151,-64.25143209,CÓRDOBA
SAN FERNANDO,22140,-27.92561531,-59.31798172,CHACO
EXALTACIÓN DE LA CRUZ,06266,-34.2240131,-59.232576,BUENOS AIRES
COMUNA 12,02012,-34.56062514,-58.47494475,CIUDAD DE BUENOS AIRES
LIHUEL CALEL,42084,-38.01481736,-65.58481895,LA PAMPA
NECOCHEA,06581,-38.085516,-59.2924177,BUENOS AIRES
GUASAYAN,86084,-27.85040093,-65.01179504,SANTIAGO DEL ESTERO
PILAR,06638,-34.42200558,-58.95283788,BUENOS AIRES
GENERAL OCAMPO,46084,-30.87825775,-66.18005371,LA RIOJA
PACLIN,10077,-27.85473251,-65.7172699,CATAMARCA
SAN MIGUEL,06760,-34.57514015,-58.69604099,BUENOS AIRES
PILA,06630,-36.09760675,-58.09855871,BUENOS AIRES
